Workbook row,Priority,Keyword,Language,Source type,Intent,Origin,Destination,Service / modifier,Recommended cluster,Current page,Current ranking evidence,Existing coverage,Missing coverage,Cannibalization risk,Classification,Recommended action,Evidence / handling note
75,P0,توصيل عوائل من البحرين الى مدينة الكويت,AR,Systematic long-tail expansion,Commercial,البحرين,مدينة الكويت,عوائل,البحرين ← مدينة الكويت,/bahrain-saudi-gcc-transport/kuwait-to-bahrain/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
76,P0,توصيل عوائل من البحرين الى مطار الدمام,AR,Systematic long-tail expansion,Commercial,البحرين,مطار الدمام,عوائل,البحرين ← مطار الدمام,/bahrain-saudi-gcc-transport/bahrain-to-dammam-airport/,Covered by route and dedicated airport pages; no separate numeric position supplied,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
77,P0,توصيل عوائل من الخبر الى البحرين,AR,Systematic long-tail expansion,Commercial,الخبر,البحرين,عوائل,الخبر ← البحرين,/bahrain-saudi-gcc-transport/khobar-to-bahrain/,GSC avg position 22.66; authority/ranking gap,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
78,P0,توصيل عوائل من الدمام الى البحرين,AR,Systematic long-tail expansion,Commercial,الدمام,البحرين,عوائل,الدمام ← البحرين,/bahrain-saudi-gcc-transport/dammam-to-bahrain/,GSC avg position 14.14; page-two growth opportunity,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
79,P0,توصيل عوائل من الدوحة الى البحرين,AR,Systematic long-tail expansion,Commercial,الدوحة,البحرين,عوائل,الدوحة ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-qatar/,GSC avg position 7.88; page-one winner,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
80,P0,توصيل عوائل من الظهران الى البحرين,AR,Systematic long-tail expansion,Commercial,الظهران,البحرين,عوائل,الظهران ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-dhahran/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
81,P0,توصيل عوائل من مدينة الكويت الى البحرين,AR,Systematic long-tail expansion,Commercial,مدينة الكويت,البحرين,عوائل,مدينة الكويت ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-kuwait/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
82,P0,توصيل عوائل من مطار الدمام الى البحرين,AR,Systematic long-tail expansion,Commercial,مطار الدمام,البحرين,عوائل,مطار الدمام ← البحرين,/bahrain-saudi-gcc-transport/dammam-airport-to-bahrain/,Covered by route and dedicated airport pages; no separate numeric position supplied,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
83,P0,توصيل للبحرين من الخبر,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/,GSC avg position 22.66; authority/ranking gap,No exact phrase found; contextual coverage required,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Directly observed in Google Bahrain suggestions on 16 Sep 2026
84,P0,توصيل للبحرين من الدمام,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/,GSC avg position 14.14; page-two growth opportunity,No exact phrase found; contextual coverage required,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Directly observed in Google Bahrain suggestions on 16 Sep 2026
85,P0,توصيل للبحرين من الكويت,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/,GSC avg position 8.48; page-one winner with CTR opportunity,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,Directly observed in Google Bahrain suggestions on 16 Sep 2026
86,P0,توصيل من أرامكو إلى البحرين,AR,Systematic long-tail expansion,Commercial,أرامكو,البحرين,توصيل,أرامكو ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-aramco/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
87,P0,توصيل من أرامكو الى البحرين,AR,Systematic long-tail expansion,Commercial,أرامكو,البحرين,توصيل,أرامكو ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-aramco/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
88,P0,توصيل من البحرين إلى أرامكو,AR,Systematic long-tail expansion,Commercial,البحرين,أرامكو,توصيل,البحرين ← أرامكو,/bahrain-saudi-gcc-transport/aramco-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
89,P0,توصيل من البحرين إلى الخبر,AR,Systematic long-tail expansion,Commercial,البحرين,الخبر,توصيل,البحرين ← الخبر,/bahrain-saudi-gcc-transport/bahrain-to-khobar/,GSC avg position 22.66; authority/ranking gap,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
90,P0,توصيل من البحرين إلى الدمام,AR,Systematic long-tail expansion,Commercial,البحرين,الدمام,توصيل,البحرين ← الدمام,/bahrain-saudi-gcc-transport/bahrain-to-dammam/,GSC avg position 14.14; page-two growth opportunity,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
91,P0,توصيل من البحرين إلى الدوحة,AR,Systematic long-tail expansion,Commercial,البحرين,الدوحة,توصيل,البحرين ← الدوحة,/bahrain-saudi-gcc-transport/qatar-to-bahrain/,GSC avg position 7.88; page-one winner,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
92,P0,توصيل من البحرين إلى الظهران,AR,Systematic long-tail expansion,Commercial,البحرين,الظهران,توصيل,البحرين ← الظهران,/bahrain-saudi-gcc-transport/dhahran-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
93,P0,توصيل من البحرين إلى مدينة الكويت,AR,Systematic long-tail expansion,Commercial,البحرين,مدينة الكويت,توصيل,البحرين ← مدينة الكويت,/bahrain-saudi-gcc-transport/kuwait-to-bahrain/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
94,P0,توصيل من البحرين إلى مطار الدمام,AR,Systematic long-tail expansion,Commercial,البحرين,مطار الدمام,توصيل,البحرين ← مطار الدمام,/bahrain-saudi-gcc-transport/bahrain-to-dammam-airport/,Covered by route and dedicated airport pages; no separate numeric position supplied,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
95,P0,توصيل من البحرين الى أرامكو,AR,Systematic long-tail expansion,Commercial,البحرين,أرامكو,توصيل,البحرين ← أرامكو,/bahrain-saudi-gcc-transport/aramco-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
96,P0,توصيل من البحرين الى الخبر,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/bahrain-to-khobar/,GSC avg position 22.66; authority/ranking gap,No exact phrase found; contextual coverage required,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Directly observed in Google Bahrain suggestions on 16 Sep 2026
97,P0,توصيل من البحرين الى الدمام,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/bahrain-to-dammam/,GSC avg position 14.14; page-two growth opportunity,No exact phrase found; contextual coverage required,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Directly observed in Google Bahrain suggestions on 16 Sep 2026
98,P0,توصيل من البحرين الى الدوحة,AR,Systematic long-tail expansion,Commercial,البحرين,الدوحة,توصيل,البحرين ← الدوحة,/bahrain-saudi-gcc-transport/qatar-to-bahrain/,GSC avg position 7.88; page-one winner,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
99,P0,توصيل من البحرين الى الظهران,AR,Systematic long-tail expansion,Commercial,البحرين,الظهران,توصيل,البحرين ← الظهران,/bahrain-saudi-gcc-transport/dhahran-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
100,P0,توصيل من البحرين الى الكويت,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/,GSC avg position 8.48; page-one winner with CTR opportunity,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,Directly observed in Google Bahrain suggestions on 16 Sep 2026
101,P0,توصيل من البحرين الى قطر,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/,GSC avg position 7.88; page-one winner,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,Directly observed in Google Bahrain suggestions on 16 Sep 2026
102,P0,توصيل من البحرين الى مدينة الكويت,AR,Systematic long-tail expansion,Commercial,البحرين,مدينة الكويت,توصيل,البحرين ← مدينة الكويت,/bahrain-saudi-gcc-transport/kuwait-to-bahrain/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
103,P0,توصيل من البحرين الى مطار الدمام,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/bahrain-to-dammam-airport/,Covered by route and dedicated airport pages; no separate numeric position supplied,Exact keyword phrase appears in existing site content,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Directly observed in Google Bahrain suggestions on 16 Sep 2026
104,P0,توصيل من البحرين الى مطار الكويت,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/,GSC avg position 8.48; page-one winner with CTR opportunity,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,Directly observed in Google Bahrain suggestions on 16 Sep 2026
105,P0,توصيل من البحرين الي قطر,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/,GSC avg position 7.88; page-one winner,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,Directly observed in Google Bahrain suggestions on 16 Sep 2026
106,P0,توصيل من البحرين لقطر,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/,GSC avg position 7.88; page-one winner,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,Directly observed in Google Bahrain suggestions on 16 Sep 2026
107,P0,توصيل من البحرين لمطار الدمام,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/bahrain-to-dammam-airport/,Covered by route and dedicated airport pages; no separate numeric position supplied,No exact phrase found; contextual coverage required,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Directly observed in Google Bahrain suggestions on 16 Sep 2026
108,P0,توصيل من الخبر إلى البحرين,AR,Systematic long-tail expansion,Commercial,الخبر,البحرين,توصيل,الخبر ← البحرين,/bahrain-saudi-gcc-transport/khobar-to-bahrain/,GSC avg position 22.66; authority/ranking gap,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
109,P0,توصيل من الخبر الى البحرين,AR,Systematic long-tail expansion,Commercial,الخبر,البحرين,توصيل,الخبر ← البحرين,/bahrain-saudi-gcc-transport/khobar-to-bahrain/,GSC avg position 22.66; authority/ranking gap,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
110,P0,توصيل من الدمام إلى البحرين,AR,Systematic long-tail expansion,Commercial,الدمام,البحرين,توصيل,الدمام ← البحرين,/bahrain-saudi-gcc-transport/dammam-to-bahrain/,GSC avg position 14.14; page-two growth opportunity,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
111,P0,توصيل من الدمام الى البحرين,AR,Systematic long-tail expansion,Commercial,الدمام,البحرين,توصيل,الدمام ← البحرين,/bahrain-saudi-gcc-transport/dammam-to-bahrain/,GSC avg position 14.14; page-two growth opportunity,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
112,P0,توصيل من الدوحة إلى البحرين,AR,Systematic long-tail expansion,Commercial,الدوحة,البحرين,توصيل,الدوحة ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-qatar/,GSC avg position 7.88; page-one winner,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
113,P0,توصيل من الدوحة الى البحرين,AR,Systematic long-tail expansion,Commercial,الدوحة,البحرين,توصيل,الدوحة ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-qatar/,GSC avg position 7.88; page-one winner,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
114,P0,توصيل من الظهران إلى البحرين,AR,Systematic long-tail expansion,Commercial,الظهران,البحرين,توصيل,الظهران ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-dhahran/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
115,P0,توصيل من الظهران الى البحرين,AR,Systematic long-tail expansion,Commercial,الظهران,البحرين,توصيل,الظهران ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-dhahran/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
116,P0,توصيل من محطة قطار الدمام الى البحرين,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/dammam-to-bahrain/,GSC avg position 14.14; page-two growth opportunity,No exact phrase found; contextual coverage required,Do not target as a service page; use only in a factual comparison FAQ if justified,Low; exclusion avoids irrelevant traffic and cannibalization,Ignore: not a Vendora primary service,Do not target as a service page; use only in a factual comparison FAQ if justified,Directly observed in Google Bahrain suggestions on 16 Sep 2026
117,P0,توصيل من مدينة الكويت إلى البحرين,AR,Systematic long-tail expansion,Commercial,مدينة الكويت,البحرين,توصيل,مدينة الكويت ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-kuwait/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
118,P0,توصيل من مدينة الكويت الى البحرين,AR,Systematic long-tail expansion,Commercial,مدينة الكويت,البحرين,توصيل,مدينة الكويت ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-kuwait/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
119,P0,توصيل من مطار البحرين الى الخبر,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/bahrain-to-khobar/,GSC avg position 22.66; authority/ranking gap,No exact phrase found; contextual coverage required,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Directly observed in Google Bahrain suggestions on 16 Sep 2026
120,P0,توصيل من مطار الدمام إلى البحرين,AR,Systematic long-tail expansion,Commercial,مطار الدمام,البحرين,توصيل,مطار الدمام ← البحرين,/bahrain-saudi-gcc-transport/dammam-airport-to-bahrain/,Covered by route and dedicated airport pages; no separate numeric position supplied,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
121,P0,توصيل من مطار الدمام الى البحرين,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/dammam-airport-to-bahrain/,Covered by route and dedicated airport pages; no separate numeric position supplied,No exact phrase found; contextual coverage required,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Directly observed in Google Bahrain suggestions on 16 Sep 2026
122,P0,توصيل من مطار الدمام للبحرين,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/bahrain-to-dammam-airport/,Covered by route and dedicated airport pages; no separate numeric position supplied,No exact phrase found; contextual coverage required,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Directly observed in Google Bahrain suggestions on 16 Sep 2026
123,P0,سائق خاص من أرامكو الى البحرين,AR,Systematic long-tail expansion,Commercial,أرامكو,البحرين,سائق خاص,أرامكو ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-aramco/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
124,P0,سائق خاص من البحرين الى أرامكو,AR,Systematic long-tail expansion,Commercial,البحرين,أرامكو,سائق خاص,البحرين ← أرامكو,/bahrain-saudi-gcc-transport/aramco-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
125,P0,سائق خاص من البحرين الى الخبر,AR,Systematic long-tail expansion,Commercial,البحرين,الخبر,سائق خاص,البحرين ← الخبر,/bahrain-saudi-gcc-transport/bahrain-to-khobar/,GSC avg position 22.66; authority/ranking gap,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
126,P0,سائق خاص من البحرين الى الدمام,AR,Systematic long-tail expansion,Commercial,البحرين,الدمام,سائق خاص,البحرين ← الدمام,/bahrain-saudi-gcc-transport/bahrain-to-dammam/,GSC avg position 14.14; page-two growth opportunity,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
127,P0,سائق خاص من البحرين الى الدوحة,AR,Systematic long-tail expansion,Commercial,البحرين,الدوحة,سائق خاص,البحرين ← الدوحة,/bahrain-saudi-gcc-transport/qatar-to-bahrain/,GSC avg position 7.88; page-one winner,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
